region_id,date,waste_tons
R043,2025-02-22,10.07
R019,2025-03-03,8.22
R003,2025-01-18,11.15
R006,2025-01-02,7.84
R043,2025-02-14,10.22
R039,2025-03-04,9.86
R042,2025-03-01,5.91
R040,2025-01-26,10.55
R067,2025-01-24,9.39
R041,2025-01-13,11.71
R046,2025-01-05,8.64
R027,2025-02-17,10.72
R011,2025-02-13,8.52
R083,2025-02-14,9.31
R002,2025-01-15,9.75
R073,2025-03-10,12.28
R079,2025-01-24,8.91
R036,2025-01-27,6.04
R095,2025-01-09,5.83
R046,2025-03-06,7.67
R035,2025-03-03,11.65
R041,2025-02-13,7.62
R024,2025-02-16,12.65
R068,2025-01-26,9.9
R016,2025-02-07,6.67
R092,2025-02-17,14.14
R030,2025-03-07,8.11
R095,2025-02-27,9.43
R089,2025-02-01,6.88
R028,2025-01-27,8.4
R100,2025-02-28,10.04
R073,2025-03-04,10.35
R003,2025-01-28,9.39
R057,2025-02-06,10.41
R083,2025-01-17,8.94
R093,2025-02-08,10.47
R023,2025-01-05,9.21
R068,2025-02-07,8.8
R081,2025-02-13,10.62
R085,2025-01-25,10.14
R081,2025-01-18,10.36
R020,2025-03-09,11.9
R092,2025-02-08,9.95
R088,2025-01-09,6.16
R055,2025-02-06,7.74
R019,2025-01-02,6.64
R068,2025-02-11,9.34
R074,2025-02-11,13.29
R095,2025-01-13,8.38
R081,2025-02-03,7.21
R089,2025-02-24,8.24
R039,2025-02-07,8.58
R041,2025-01-19,11.01
R044,2025-01-14,10.72
R048,2025-02-20,8.84
R023,2025-01-22,7.93
R034,2025-02-05,8.92
R054,2025-02-25,11.44
R077,2025-02-22,9.84
R053,2025-03-06,10.59
R057,2025-01-30,11.48
R015,2025-01-03,5.01
R015,2025-01-23,6.35
R006,2025-01-24,8.26
R096,2025-01-02,7.64
R073,2025-01-06,13.75
R023,2025-02-25,9.53
R005,2025-01-29,7.07
R015,2025-02-10,9.51
R063,2025-01-18,10.27
R089,2025-03-04,9.46
R017,2025-02-24,8.89
R025,2025-02-18,10.27
R019,2025-02-27,8.31
R063,2025-02-05,8.02
R079,2025-03-01,7.89
R027,2025-01-25,10.25
R094,2025-03-11,14.56
R059,2025-01-01,5.47
R062,2025-01-26,4.84
R012,2025-02-12,13.12
R001,2025-03-07,6.45
R021,2025-01-26,12.06
R059,2025-01-17,6.61
R048,2025-02-27,6.58
R050,2025-02-19,4.02
R028,2025-02-01,10.97
R027,2025-02-21,8.8
R035,2025-03-08,8.13
R030,2025-03-03,8.5
R021,2025-01-01,6.97
R053,2025-02-18,9.03
R007,2025-03-08,9.01
R063,2025-02-27,5.86
R044,2025-01-18,10.1
R062,2025-02-14,6.88
R055,2025-01-07,8.28
R014,2025-01-12,5.86
R005,2025-02-12,10.04
R004,2025-02-08,14.51
R086,2025-01-17,7.18
R033,2025-02-01,5.87
R030,2025-01-28,9.12
R061,2025-01-23,10.0
R023,2025-01-19,9.24
R004,2025-01-22,12.56
R017,2025-03-03,11.07
R088,2025-03-06,9.26
R061,2025-02-17,9.86
R016,2025-01-12,5.2
R075,2025-02-25,9.25
R071,2025-02-10,11.18
R002,2025-01-22,7.5
R042,2025-02-02,8.56
R005,2025-02-08,8.93
R055,2025-03-11,7.99
R087,2025-02-14,10.36
R096,2025-01-17,6.64
R075,2025-01-13,9.92
R014,2025-02-25,9.1
R086,2025-03-05,7.23
R075,2025-01-08,11.13
R071,2025-02-07,13.43
R097,2025-01-04,7.38
R087,2025-01-14,6.71
R045,2025-01-24,10.08
R015,2025-03-03,7.27
R043,2025-03-05,7.88
R094,2025-02-24,9.5
R068,2025-01-18,6.67
R042,2025-01-18,8.36
R077,2025-01-28,10.91
R044,2025-02-09,9.19
R047,2025-02-24,9.43
R034,2025-01-24,6.31
R030,2025-02-09,12.49
R028,2025-01-16,5.85
R058,2025-01-23,5.77
R051,2025-03-05,10.31
R054,2025-02-13,10.62
R068,2025-01-08,9.61
R038,2025-02-09,14.68
R032,2025-01-28,5.03
R011,2025-01-12,9.13
R053,2025-01-22,14.4
R086,2025-02-03,5.86
R022,2025-01-14,8.43
R004,2025-02-25,12.75
R055,2025-02-17,8.97
R048,2025-01-26,9.87
R090,2025-03-11,10.63
R095,2025-02-21,8.97
R012,2025-01-20,13.21
R082,2025-01-02,11.62
R083,2025-01-01,10.57
R078,2025-01-11,7.58
R012,2025-03-10,13.19
R001,2025-01-15,9.13
R099,2025-01-08,9.81
R040,2025-03-01,9.77
R055,2025-02-26,6.86
R083,2025-01-24,7.84
R001,2025-01-09,9.56
R097,2025-01-30,7.48
R026,2025-02-06,10.46
